#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;Waging Holy War costs piety, especially if you are attacking distant enemies.;Mener une Guerre Sainte coûte de la piété, surtout si vous attaquer des ennemis lointains.;Waging Holy War costs piety, especially if you are attacking distant enemies.;;Waging Holy War costs piety, especially if you are attacking distant enemies.;;;;;;;;;x
LOADING_TIP_16;If you have free investiture, the Pope may ask you to change it.;En cas d’investiture libre, le pape peut vous demander de changer cette loi.;Wenn Ihr freie Investitur habt, könnte Euch der Papst auffordern, dies zu ändern.;;Si aplicas la ley de libre investidura, el Papa puede pedirte que la cambies.;;;;;;;;;x
LOADING_TIP_17;Do not upset the Pope, he may have you excommunicated.;Ne contrariez pas le pape sous peine d’excommunication.;Verärgert den Papst nicht, denn er könnte Euch exkommunizieren.;;No enfades al Papa, puede hacer que te excomulguen.;;;;;;;;;x
LOADING_TIP_18;If you are childless and old, your family members may demand your titles.;Si vous êtes sans enfant ou âgé, les membres de votre famille peuvent exiger vos titres.;Wenn Ihr kinderlos und alt seid, könnten Eure Familienmitglieder Eure Titel fordern.;;Si no tienes descendencia y eres anciano, puede que los miembros de tu familia te pidan los títulos.;;;;;;;;;x
LOADING_TIP_19;You cannot wage Holy Wars if your piety is below 0.;Vous ne pouvez mener une Guerre Sainte si votre piété est en dessous de 0.;You cannot wage Holy Wars if your piety is below 0.;;You cannot wage Holy Wars if your piety is below 0.;;;;;;;;;x
LOADING_TIP_20;The more the Authority of a religion is eroded, the more susceptible it is to heresy.;Plus l’autorité d’une religion est fragile, plus elle est encline à l’hérésie.;Je mehr die Autorität einer Religion nachlässt, desto anfälliger wird sie für Ketzerei.;;Cuanto más erosionada la autoridad de una religión, más propensos serán sus miembros a la herejía.;;;;;;;;;x
LOADING_TIP_21;Wards are likely to pick up the religion and culture of their guardians.;Les pupilles choisissent généralement la religion et la culture de leurs tuteurs.;Pfleglinge nehmen wahrscheinlich die Religion und Kultur ihrer Vormünder an.;;Cada pupilo suele elegir la religión y la cultura de su tutor.;;;;;;;;;x
LOADING_TIP_22;You can send your marshal to crush an ongoing revolt in a province using the 'Suppress Revolts' action.;"Vous pouvez dépêcher votre maréchal pour écraser une révolte en cours dans une province en utilisant l'action ""Supprimer les révoltes"".";You can send your marshal to crush an ongoing revolt in a province using the 'Suppress Revolts' action.;;You can send your marshal to crush an ongoing revolt in a province using the 'Suppress Revolts' action.;;;;;;;;;x
LOADING_TIP_23;Agnatic Succession means only males can inherit.;La succession agnatique signifie que seuls les hommes peuvent hériter.;Väterliche Thronfolge bedeutet, dass nur Männer erben können.;;La sucesión agnaticia significa que solo los varones pueden heredar.;;;;;;;;;x
LOADING_TIP_24;Agnatic-Cognatic (a.k.a. Male Preference) Succession means females can inherit only if there are no valid males.;La succession agnatique-cognatique (i.e. Préférence masculine) signifie que les femmes peuvent seulement hériter s'il n'y a pas d'hommes valides.;Die Väterlich-Mütterliche Thronfolge  (auch Männlicher Vorzug genannt) bedeutet, dass Frauen nur dann erben können, wenn kein legitimer männlicher Nachkomme vorhanden ist. ;;La sucesión agnaticia-cognaticia (preferencia masculina) significa que las mujeres pueden heredar solo en caso de ausencia de varón.;;;;;;;;;x
LOADING_TIP_25;Under Seniority Succession, the oldest member of the dynasty inherits.;Sous la succession de l'ancienneté, c'est le membre le plus âgé de la dynastie qui hérite.;Bei der Alterserbfolge erbt das älteste Mitglied der Dynastie.;;En la sucesión jerárquica, hereda el miembro de mayor edad de la dinastía.;;;;;;;;;x
LOADING_TIP_26;Under Primogeniture Succession, the oldest legitimate child inherits.;Sous la succession de la primogéniture, c'est l'enfant légitime le plus âgé qui hérite.;Beim Erstgeborenen-Erbrecht ist das erstgeborene, legitime Kind erbberechtigt.;;En la sucesión por primogénitura hereda el hijo legítimo de mayor edad;;;;;;;;;x
LOADING_TIP_27;Under Gavelkind Succession, the inheritance is divided among the children.;Sous la succession Gavelkind, l'héritage est réparti entre les enfants.;Bei der Gavelkind'schen Erbfolge wird das Erbe unter den Kindern aufgeteilt.;;En la sucesión equitativa la herencia se divide entre los hijos.;;;;;;;;;x
LOADING_TIP_28;Children are born with a fraction of their parents' dynasties' total Prestige.;Les enfants naissent avec une fraction du Prestige total des dynasties de leurs parents.;Kinder werden mit einem Teil des Ansehens ihrer elterlichen Dynastie geboren.;;Los niños nacen con una parte del prestigio de las dinastías de sus progenitores.;;;;;;;;;x
LOADING_TIP_29;You gain more Prestige in battle as an ally than as a primary participant.;Vous gagnez plus de prestige au cours d'une bataille en tant qu'allié qu'en tant qu'instigateur.;Verbündete können in einer Schlacht mehr Prestige gewinnen als Haupt-Akteure;;Ganas más Prestigio en batalla como aliado que como participante primario.;;;;;;;;;x
LOADING_TIP_30;Hold down shift while giving orders to a unit to create a custom path.;Maintenez la touche Maj. appuyée lorsque vous donnez des ordres à une unité pour créer un parcours personnalisé.;Shift bei der Erteilung eines Truppenbefehls gedrückt halten, um einen angepassten Pfad zu erstellen;;Mantén pulsada la tecla Shift al dar órdenes a una unidad para crear una ruta personalizada.;;;;;;;;;x
LOADING_TIP_31;Under Gavelkind Succession Law, you suffer no Prestige penalty for having unlanded sons.;Avec la loi de succession basée sur le gavelkind, vous ne subissez aucune pénalité de prestige lorsque vous avez des fils sans terres.;Unter dem Nachfolgegesetz Gavelkind erleidet Ihr durch landlose Söhne keine Prestigeverluste.;;Merced a la Ley de Sucesión equitativa, no pierdes prestigio por tener hijos sin tierras.;;;;;;;;;x
LOADING_TIP_32;Gavelkind Succession Law allows you to have a larger demesne.;La loi de succession basée sur le gavelkind vous permet d’avoir un domaine plus grand.;Das Nachfolgegesetz Gavelkind gestattet Euch keine größere Domäne.;;La Ley de Sucesión equitativa iguales te permite poseer una heredad mayor.;;;;;;;;;x
LOADING_TIP_33;Employed Holy Orders cost no maintenance when you are defending against heretics or infidels.;Aucun frais d’entretien ne s’applique aux ordres sacrés employés lorsque vous vous défendez face à des hérétiques ou à des infidèles.;Glaubensorden in Euren Diensten kosten Euch keinen Unterhalt, wenn Ihr gegen Ketzer oder Ungläubige verteidigt.;;Las Órdenes Militares contratadas no te cuestan dinero cuando te defiendes contra herejes o infieles.;;;;;;;;;x
LOADING_TIP_34;Your councillors cannot both lead troops and perform missions in counties.;Vos conseillers ne peuvent pas à la fois mener des troupes et effectuer leurs missions dans les comtés.;Eure Räte können nicht gleichzeitig Truppen befehligen und Aufträge in Grafschaften ausführen.;;Tus consejeros no pueden liderar tropas y realizar misiones en condados.;;;;;;;;;x
LOADING_TIP_35;Beware the Mongol Hordes...;Attention aux hordes mongoles...;Hütet Euch vor den mongolischen Horden ...;;Cuidado con las hordas mongolas...;;;;;;;;;x
LOADING_TIP_36;If you have no Spymaster, you cannot discover plots.;Si vous n’avez pas de maître de l’espionnage, il vous sera impossible de découvrir des complots.;Wenn Ihr keinen Agentenführer habt, könnt Ihr keine Verschwörungen aufdecken.;;Si no tienes Jefe de espías no puedes descubrir complots.;;;;;;;;;x
LOADING_TIP_37;Sometimes the most skilled Councillor is also an enemy. Tread carefully.;Parfois, le plus talentueux des conseillers est aussi un ennemi. Prudence !;Manchmal ist der fähigste Berater auch ein Feind. Handelt mit Vorsicht.;;A veces el consejero más capaz es también un enemigo. Ve con cuidado.;;;;;;;;;x
LOADING_TIP_38;You'll have better results plotting against your liege if you are the Spymaster.;En cas de complot contre votre suzerain, vous obtiendrez de meilleurs résultats si vous êtes le maître de l’espionnage.;Seid Ihr der Agentenführer, so haben Eure Verschwörungen gegen Euren Lehnsherrn bessere Erfolgschancen.;;Lograrás mejores resultados conspirando contra tu señor si eres el Jefe de espías.;;;;;;;;;x
LOADING_TIP_39;Use your Court Chaplain to convert the religion of counties and vassals.;Utilisez votre chef spirituel pour convertir les comtés et les vassaux à une nouvelle religion.;Konvertiert Eure Grafschaften und Vasallen mit Hilfe Eures Hofkaplans;;Usa a tu Capellán de la corte para mudar la religión de condados y vasallos.;;;;;;;;;x
LOADING_TIP_40;All your children will get claims on your titles.;Tous vos enfants revendiqueront vos titres.;All Eure Kinder erhalten Ansprüche auf Eure Titel.;;Todos tus hijos tendrán reclamaciones sobre tus títulos.;;;;;;;;;x
LOADING_TIP_41;Delegate. A smaller group of direct vassals is easier to control.;Déléguez. Un petit groupe de vassaux directs est plus facile à contrôler.;Delegieren. Eine kleinere Gruppe direkter Vasallen ist einfacher zu kontrollieren.;;Delega. Un grupo más pequeño de vasallos directos es más fácil de controlar.;;;;;;;;;x
LOADING_TIP_42;Allies might refuse to participate in a war against someone they like more than you.;Vos alliés risquent de refuser de participer à une guerre contre quelqu’un qu’ils préfèrent à vous.;Verbündete könnten die Teilnahme an einem Krieg gegen jemand verweigern, den sie mehr mögen als Euch.;;Los aliados podrían negarse a participar en una guerra contra alguien que les guste más que tú.;;;;;;;;;x
LOADING_TIP_43;You can also build improvements in the Holdings of your direct vassals.;Vous pouvez aussi construire des améliorations dans les propriétés de vos vassaux directs.;In den Besitztümern Eurer direkten Vasallen könnt Ihr ebenfalls Verbesserungen bauen.;;También puedes construir mejoras en las posesiones de tus vasallos directos.;;;;;;;;;x
LOADING_TIP_44;Children tend to get the same traits and skills as their assigned guardian.;Les enfants ont tendance à hériter des caractéristiques et compétences de leur tuteur.;Kinder tendieren dazu, die gleichen Fähigkeiten und Eigenschaften wie die ihnen zugeteilten Vormünder zu erlangen.;;Los niños tienden a adquirir los rasgos y habilidades de su tutor asignado.;;;;;;;;;x
LOADING_TIP_45;Just as Christians have Crusades, Muslims have Jihad.;Les chrétiens ont les croisades et les musulmans le jihad.;Was den Christen ihre Kreuzzüge sind, ist der Dschihad den Muslimen.;;Igual que los cristianos tienen cruzadas, los musulmanes tienen yihad.;;;;;;;;;x
LOADING_TIP_46;Nobles care about Prestige. Religious leaders care about Piety. Everyone cares for Gold.;Les nobles s’intéressent au prestige, les chefs religieux s’intéressent à la piété et tout le monde s’intéresse à l’or.;Edelleute finden Prestige wichtig, religiöse Oberhäupter Pietät, aber alle interessieren sich für Gold. ;;Los nobles se interesan por el prestigio. Los líderes religiosos se interesan por la piedad. Todos se interesan por el oro.;;;;;;;;;x
LOADING_TIP_47;If an Antipope dethrones the reigning pope, he becomes the new Pope.;Si un antipape détrône le pape régnant, il devient le nouveau pape.;Wenn ein Gegenpapst den amtierenden Papst stürzt, wird er selbst der neue Papst.;;Si un antipapa derroca al papa reinante, aquel se convierte en el nuevo papa.;;;;;;;;;x
LOADING_TIP_48;Nominating someone a Bishop will disqualify him from succession;La nomination de quelqu'un comme évêque va le disqualifier de la succession;Jemandem einen Bischof zu nominieren, disqualifiziert ihn als Erben;;Nombrar a alguien obispo le descalifica para la sucesión ;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOADING_TIP_49;You must have at least Medium Crown Authority to press Kingdom or Empire De Jure claims;You must have at least Medium Crown Authority to press Kingdom or Empire De Jure claims;You must have at least Medium Crown Authority to press Kingdom or Empire De Jure claims;;You must have at least Medium Crown Authority to press Kingdom or Empire De Jure claims;;;;;;;;;x
LOADING_TIP_50;Greedy and generally indulgent characters like gifts more;Les sujets gourmands et généralement indulgents aiment plus les cadeaux ;Geizige und allgemein nachsichtige Charaktere mögen Geschenke mehr;;Personajes codiciosos e indulgente generalmente les gustan más los regalos ;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
