#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA2002020;I will attend the ceremony;J'assisterais à la cérémonie.;Ich werde ihm schreiben, dass ich teilnehmen;I will attend the ceremony;I will attend the ceremony;;;;;;;;x;
EVTOPTB2002020;I refuse to set foot in that pompous windbag's castle;Je refuse de mettre un pied dans ce château de pompeuses baudruches. ;Ich weigere mich je einen Fuß in jenes pompösen Windbeutel Schloss zu stellen;I refuse to set foot in that pompous windbag's castle;I refuse to set foot in that pompous windbag's castle;;;;;;;;x;
EVTDESC2002025;[From.GetTitledName] is sorry to inform you that he will not be able to attend the coronation ceremony in Rome as he has more important issues to attend to.;[From.GetTitledName] est désolé de vous informer qu'il ne pourra pas assister à la cérémonie de couronnement à Rome car il a des choses plus importantes à faire.;[From.GetTitledName] bedauert , Ihnen mittzuteilen  dass er nicht in der Lage ist die Krönungszeremonie in Rom zu besuchen, da er wichtigere Dinge zu erledigen hat.;[From.GetTitledName] is sorry to inform you that he will not be able to attend the coronation ceremony in Rome as he has more important issues to attend to.;[From.GetTitledName] is sorry to inform you that he will not be able to attend the coronation ceremony in Rome as he has more important issues to attend to.;;;;;;;;x;
EVTOPTA2002025;I have no words for such dishonour;Je n'est pas de mot pour un tel déshonneur.;Ich habe keine Worte für solche Unehre;I have no words for such dishonour;I have no words for such dishonour;;;;;;;;x;
EVTNAME2002050;Holy Roman Emperor;Saint Empereur Romain;Römisch-deutscher Kaiser;Holy Roman Emperor;Holy Roman Emperor;;;;;;;x;;
EVTNAME2002065;Pope crowns Emperor;Le Pape Couronne l'Empereur;Papst krönt Kaiser;Pope crowns Emperor;Pope crowns Emperor;;;;;;;x;;
EVTDESC2002065;"In the name of Christ, I, [Root.GetTitledFirstName], promise, pledge and guarantee in the sight of God and the blessed Apostle Peter that I will be the protector and defender of this holy Roman Church in all ways useful to her, however many, in so far as I am supported by divine assistance according to my knowledge and ability.\n\nToday [Root.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope.";"Au Nom du Christ, moi, [Root.GetTitledFirstName], promet, m'engage et jure devant Dieu et le bienheureux Apôtre Pierre que je serais le protecteur et le défenseur de la très sainte Eglise Romaine, que je la servirais en toutes occasions, ou au moins dans de nombreuses, dans la mesure où je suis soutenu par la divine assistance et en accord avec mes propres connaissances et capacités.\n\nAujourd'hui [Root.GetTitledFirstName] a été couronné par Sa Sainteté le Pape et a formellement reçu le titre de ""Saint Empereur Romain"" et les Regalia Impériaux avec la bénédiction du Pape. ";"Im Namen Christi, Ich, [Root.GetTitledFirstName], Versprechen, Unterpfand und Garant in den Augen Gottes und der seligen Apostel Petrus, dass ich der Beschützer und Verteidiger dieser heiligen römischen Kirche in allen ihren Formen nützlich, um ihr zu sein, jedoch viele, soweit ich durch göttlichen Beistand bin nach meinem Wissen und Können unterstützt. \n\n Heute [Root.GetTitledFirstName] wurde von Seiner Heiligkeit dem Papst gekrönt und erhielt offiziell den Titel ""Kaiser"" und das Imperial Ornat mit dem Segen des Papstes.";"In the name of Christ, I, [Root.GetTitledFirstName], promise, pledge and guarantee in the sight of God and the blessed Apostle Peter that I will be the protector and defender of this holy Roman Church in all ways useful to her, however many, in so far as I am supported by divine assistance according to my knowledge and ability.\n\nToday [Root.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope.";"In the name of Christ, I, [Root.GetTitledFirstName], promise, pledge and guarantee in the sight of God and the blessed Apostle Peter that I will be the protector and defender of this holy Roman Church in all ways useful to her, however many, in so far as I am supported by divine assistance according to my knowledge and ability.\n\nToday [Root.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope.";;;;;;;x;;
EVTDESC2002050;"Today I was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope.";"Aujourd'hui j'ai été couronné par Sa Sainteté le Pape et est formellement reçiu le titre de ""Saint Empereur Romain"" et les Regalia Impériaux avec la bénédiction du Pape. ";"Heute wurde ich von Seiner Heiligkeit dem Papst gekrönt und erhielt offiziell den Titel ""Kaiser"" und der Reichskleinodien mit dem Segen des Papstes.";"Today I was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope.";"Today I was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope.";;;;;;;;x;
EVTOPTA2002050;This will strengthen my rule significantly;Cela va grandement renforcer mon autorité. ;Dies wird meine Herschaft deutlich stärken;This will strengthen my rule significantly;This will strengthen my rule significantly;;;;;;;;x;
EVTDESC2002055;"Today [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope. The ceremony was magnificent.";"Aujourd'hui [From.GetTitledFirstName] a été couronné par Sa Sainteté le Pape et a formellement reçu le titre de ""Saint Empereur Romain"" avec la bénédiction du Pape. La cérémonie était grandiose.";"Heute wurde [From.GetTitledFirstName] von Seiner Heiligkeit dem Papst gekrönt und erhielt offiziell den Titel ""Kaiser"" und die Reichskleinodien mit dem Segen des Papstes. Die Zeremonie war großartig.";"Today [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope. The ceremony was magnificent.";"Today [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope. The ceremony was magnificent.";"Today [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of ""Holy Roman Emperor"" and the Imperial Regalia with the blessing of the Pope. The ceremony was magnificent.";;;;;;;x;
EVTOPTA2002055;Long may [From.GetTitledFirstName] live!;Longue vie à [From.GetTitledFirstName]!;Lang lebe [From.GetTitledFirstName] !;Long may [From.GetTitledFirstName] live!;Long may [From.GetTitledFirstName] live!;;;;;;;;x;
EVTDESC2002060;[From.GetTitledFirstName] has been crowned and received the Imperial Regalia by his holiness the Pope in the St. Basilica in Rome. The divine blessings conveyed by his Holiness the Pope confirm the right of rule over all Imperial lands governed by [From.GetTitledFirstName] and his appointed vassals.;[From.GetTitledFirstName] a été couronné et a reçu les regalia Impériaux par Sa Sainteté le Pape en la Sainte Basilique de Rome. Les bénédictions divines transmisent par Sa Sainteté le Pape confirme son droit de régner sur toutes les terres Impériales gouvernées [From.GetTitledFirstName] et ses vassaux fieffés. ;[From.GetTitledFirstName] wurde gekrönt und erhielt die Reichskleinodien von Seiner Heiligkeit dem Papst in der Basilika St. in Rom. Die Devine Segen vermittelt durch seine Heiligkeit, der Papst das Recht der Regel bestätigen, über alle kaiserlichen Ländereien von [From.GetTitledFirstName] und seine Vasallen ernannten geregelt.;[From.GetTitledFirstName] has been crowned and received the Imperial Regalia by his holiness the Pope in the St. Basilica in Rome. The divine blessings conveyed by his Holiness the Pope confirm the right of rule over all Imperial lands governed by [From.GetTitledFirstName] and his appointed vassals.;[From.GetTitledFirstName] has been crowned and received the Imperial Regalia by his holiness the Pope in the St. Basilica in Rome. The divine blessings conveyed by his Holiness the Pope confirm the right of rule over all Imperial lands governed by [From.GetTitledFirstName] and his appointed vassals.;;;;;;;;x;
EVTOPTA2002060;OK;OK;OK;OK;OK;;;;;;;;x;
coronation_rejected;Rejected Coronation;A rejeté le Couronnement;Krönung abgelehnt;Rejected Coronation;Rejected Coronation;;;;;;;;x;
opinion_attended_ceremony;Attended Coronation;A assisté au Couronnement;Krönung zustimmen;Attended Coronation;;;;;;;;;Attended Coronationx;
coronation;Request Papal Coronation;Demander un Couronnement au Pape;Päpstliche Krönung vorschlagen;Request Papal Coronation;Request Papal Coronation;;;;;;;;x;
coronation_desc;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the ruler of the Holy Roman Empire, which further legitimises your rule.;Promulguer cette décision entrainera l'envoi d'une requête au Pape, lui demandant d'organiser une cérémonie de couronnement à Rome en l'honneur de [Root.GetTitledFirstName]. Cela autorisera [Root.GetTitledFirstName] à être couronné et bénit par le Pape et d'accroître son autorité comme souverain du Saint Empire Romaine  as the ruler of the Holy Roman Empire, ce qui légitimera également votre règne. ;Erlass dieser Entscheidung wird einen Antrag an den Papst für eine Krönungszeremonie, die in Rom zu Ehren von [Root.GetTitledFirstName] stattfinden wird, zur Folge haben. Dies ermöglicht [Root.GetTitledFirstName] gesegnet durch den Papst gekrönt zu werden und erhöht die Autorität als Herrscher des Heiligen Römischen Reiches.;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the ruler of the Holy Roman Empire, which further legitimises your rule.;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the ruler of the Holy Roman Empire, which further legitimises your rule.;;;;;;;;x;
crowned_by_pope;Crowned;Couronné(e);Gekrönt;Crowned;Crowned;;;;;;;;x;
crowned_by_pope_desc;Being crowned by the Pope and having received the Imperial Regalia symbolises the blessing of the Pope and official recognised status as the Holy Roman Emperor.;Être couronné par le Pape et recevoir les Regalia Impériaux symbolisent la bénédiction du Saint Père et la reconnaissance officielle du statut de Saint Empereur Romain. ;Durch den Papst gekrönt und Erhalt der Reichskleinodien symbolisiert den Segen des Papstes und offiziell anerkannten Status als römisch-deutscher Kaiser.;Being crowned by the Pope and having received the Imperial Regalia symbolises the blessing of the Pope and official recognised status as the Holy Roman Emperor.;Being crowned by the Pope and having received the Imperial Regalia symbolises the blessing of the Pope and official recognised status as the Holy Roman Emperor.;;;;;;;;x;
