#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sicilian;Sicilian;Sicilien;Sizilianisch;;Sicilian;;;;;;;;;x
EVTDESC100009004;My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;"Mon suzerain m'a persuadé d'embrasser cette nation de ""Sicilianité"" qui balaye le Royaume.  ";My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;;My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;;;;;;;;;x
EVTOPTA100009004;He made me an offer I couldn't refuse.;Il m'a fait une offre que je n'ai pu refuser.;Er macht mit ein Angebot das ich nicht ausschlagen konnte;;He made me an offer I couldn't refuse.;;;;;;;;;x
EVTDESC100009005;For as long as have ruled here we Greeks have entrusted the raising of our children to Norman, Maghreb, or Italian nursemaids. Our first words would not be Byzantine Greek but something else. As we grew up, we learned to speak a tongue that was neither one nor the other. Now is this time to make this tongue our own so we may all communicate.;Depuis que nous régnons ici, nous confions l’éducation de nos enfants à des gouvernantes. Nos premiers mots sont une autre langue. Et en grandissant, nous apprenons à parler une langue qui n’est ni l’une ni l’autre. Il est temps de nous approprier cette langue afin que nous puissions tous communiquer.;Während meiner gesamten Herrschaft hier haben unserer Kinder Kindermädchen anvertraut. Unsere ersten Worte waren kein unsere. Beim Heranwachsen lernten wir eine Sprache, die dazwischen lag. Jetzt ist es an der Zeit, uns diese Sprache zu eigen zu machen, damit wir alle kommunizieren können.;;Mientras hemos gobernado aquí, los hemos confiado la educación de nuestros hijos a niñeras. Nuestras primeras palabras no fueron nuestras. A medida que crecíamos aprendimos a hablar una lengua que no era ni una ni otra. Ahora es el momento de hacer nuestra esta lengua para que todos nos comuniquemos.;;;;;;;;;x
EVTOPTA100009005;Yes, let us be one with our serfs;Oui, ne faisons qu’un avec nos serfs !;Jawohl, lasst uns eins mit unseren Leibeigenen sein;;"Sí,"" seamos uno con nuestros vasallos";;;;;;;;;x
EVTDESC100009006;Around our lands more people are using this Sicilian language and I find this is a perfect means for a Greek overlord to get his multicultural serfs to work properly. We continue to use our own influence to promote this means of communication in the interests of a more efficient realm. ;Sur nos terres, un nombre croissant de gens parlent sicilien, ce qui me semble être un moyen idéal pour un seigneur de faire travailler convenablement ses serfs. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du royaume et à asseoir sa puissance. ;Um unser Territorium herum sprechen immer mehr Leute diese sizilianische Sprache. Für einen Oberherrn ist sie meiner Meinung nach ein perfektes Mittel,  Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;"Cada vez hay más gente en nuestras tierras que usan el siciliano,"" algo que considero perfecto para que un señor haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente. ";;;;;;;;;x
EVTOPTA100009006;We are indeed wise;Nous sommes habiles.;"Oh,"" was sind wir weise";;Sin duda somos sabios;;;;;;;;;x
EVTDESC100009007;Although every civilised man in Christendom knows that Greek is the true language of communication, this new Sicilian language does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;Bien que tous les hommes civilisés de la chrétienté sachent que nostra est la vraie langue de la communication, cette nouvelle langue sicilien s’avère très commode. J’ai donc eu gain de cause sur un membre de ma cour afin qu’elle soit adoptée pour l’emploi administratif quotidien.;Obwohl jeder zivilisierte Mann der Christenheit weiß, dass unsere die einzig wahre Kommunikationsform ist, hat diese neue sizilianische Sprache auch einen gewissen Nutzen. Aus diesem Grund habe ich ein Mitglied meines Hofes dazu gedrängt, sie für das tägliche Verwaltungsgeschäft zu übernehmen.;;"Aunque todos los hombres civilizados de la cristiandad saben que nos es la verdadera lengua de comunicación,"" el nuevo idioma siciliano tiene cierta funcionalidad. He convencido a un miembro de mi corte de que lo adopte como lengua administrativa de uso cotidiano.";;;;;;;;;x
EVTOPTA100009007;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESC100009008;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my vassals round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Je réfléchissais à une affaire importante lorsque j’ai eu une idée étonnante. Pour renforcer mon royaume, je dois convertir mes vassaux à ma façon de penser. Cela passe par la communication. Si je parviens à leur faire adopter mon mode de communication, mon royaume fonctionnera beaucoup mieux.;"Beim Nachdenken über ein wichtiges Geschäft kam ich zu einer erstaunlichen Einsicht: Zur Stärkung meines Reichs muss ich meine Vasallen von meiner Denkweise überzeugen, und dazu gehört auch die Kommunikation. Wenn ich es schaffen könnte, dass alle wie ich kommunizieren,"" so wäre mein Reich viel einfacher zu regieren.";;Estaba ocupado con asuntos importantes cuando tuve una súbita revelación. Para reforzar mi reino debo lograr que mis vasallos compartan mi forma de pensar. Eso implica comunicación. Si logro que se comuniquen como yo mi reino funcionará mucho mejor.;;;;;;;;;x
EVTOPTA100009008;Sometimes I even surprise myself;"Parfois,"" je m’étonne moi-même.";Manchmal überrasche ich mich selbst;;A veces me sorprendo a mí mismo;;;;;;;;;x
EVTDESC100009009;My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;"Mon suzerain m'a persuadé d'embrasser cette nation de ""Sicilianité"" qui balaye le Royaume.  ";My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;;My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;;;;;;;;;x
EVTOPTA100009009;He made me an offer I couldn't refuse.;Il m'a fait une offre que je n'ai pu refuser.;Er macht mit ein Angebot das ich nicht ausschlagen konnte;;He made me an offer I couldn't refuse.;;;;;;;;;x
EVTDESC100009010;For as long as have ruled here we Arabs have entrusted the raising of our children to Norman, Greek, or Italian nursemaids. Our first words would not be Maghreb Arabic but something else. As we grew up, we learned to speak a tongue that was neither one nor the other. Now is this time to make this tongue our own so we may all communicate.;Depuis que nous régnons ici, nous confions l’éducation de nos enfants à des gouvernantes. Nos premiers mots sont une autre langue. Et en grandissant, nous apprenons à parler une langue qui n’est ni l’une ni l’autre. Il est temps de nous approprier cette langue afin que nous puissions tous communiquer.;Während meiner gesamten Herrschaft hier haben unserer Kinder Kindermädchen anvertraut. Unsere ersten Worte waren kein unsere. Beim Heranwachsen lernten wir eine Sprache, die dazwischen lag. Jetzt ist es an der Zeit, uns diese Sprache zu eigen zu machen, damit wir alle kommunizieren können.;;Mientras hemos gobernado aquí, los hemos confiado la educación de nuestros hijos a niñeras. Nuestras primeras palabras no fueron nuestras. A medida que crecíamos aprendimos a hablar una lengua que no era ni una ni otra. Ahora es el momento de hacer nuestra esta lengua para que todos nos comuniquemos.;;;;;;;;;x
EVTOPTA100009010;Yes, let us be one with our serfs;Oui, ne faisons qu’un avec nos serfs !;Jawohl, lasst uns eins mit unseren Leibeigenen sein;;"Sí,"" seamos uno con nuestros vasallos";;;;;;;;;x
EVTDESC100009011;Around our lands more people are using this Sicilian language and I find this is a perfect means for an Arab overlord to get his multicultural serfs to work properly. We continue to use our own influence to promote this means of communication in the interests of a more efficient realm. ;Sur nos terres, un nombre croissant de gens parlent sicilien, ce qui me semble être un moyen idéal pour un seigneur de faire travailler convenablement ses serfs. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du royaume et à asseoir sa puissance. ;Um unser Territorium herum sprechen immer mehr Leute diese sizilianische Sprache. Für einen Oberherrn ist sie meiner Meinung nach ein perfektes Mittel,  Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;"Cada vez hay más gente en nuestras tierras que usan el siciliano,"" algo que considero perfecto para que un señor haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente. ";;;;;;;;;x
EVTOPTA100009011;We are indeed wise;Nous sommes habiles.;"Oh,"" was sind wir weise";;Sin duda somos sabios;;;;;;;;;x
EVTDESC100009012;Although every civilised man in Christendom knows that Arabic is the true language of communication, this new Sicilian language does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;Bien que tous les hommes civilisés de la chrétienté sachent que nostra est la vraie langue de la communication, cette nouvelle langue sicilien s’avère très commode. J’ai donc eu gain de cause sur un membre de ma cour afin qu’elle soit adoptée pour l’emploi administratif quotidien.;Obwohl jeder zivilisierte Mann der Christenheit weiß, dass unsere die einzig wahre Kommunikationsform ist, hat diese neue sizilianische Sprache auch einen gewissen Nutzen. Aus diesem Grund habe ich ein Mitglied meines Hofes dazu gedrängt, sie für das tägliche Verwaltungsgeschäft zu übernehmen.;;"Aunque todos los hombres civilizados de la cristiandad saben que nos es la verdadera lengua de comunicación,"" el nuevo idioma siciliano tiene cierta funcionalidad. He convencido a un miembro de mi corte de que lo adopte como lengua administrativa de uso cotidiano.";;;;;;;;;x
EVTOPTA100009012;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESC100009013;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my vassals round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Je réfléchissais à une affaire importante lorsque j’ai eu une idée étonnante. Pour renforcer mon royaume, je dois convertir mes vassaux à ma façon de penser. Cela passe par la communication. Si je parviens à leur faire adopter mon mode de communication, mon royaume fonctionnera beaucoup mieux.;"Beim Nachdenken über ein wichtiges Geschäft kam ich zu einer erstaunlichen Einsicht: Zur Stärkung meines Reichs muss ich meine Vasallen von meiner Denkweise überzeugen, und dazu gehört auch die Kommunikation. Wenn ich es schaffen könnte, dass alle wie ich kommunizieren,"" so wäre mein Reich viel einfacher zu regieren.";;Estaba ocupado con asuntos importantes cuando tuve una súbita revelación. Para reforzar mi reino debo lograr que mis vasallos compartan mi forma de pensar. Eso implica comunicación. Si logro que se comuniquen como yo mi reino funcionará mucho mejor.;;;;;;;;;x
EVTOPTA100009013;Sometimes I even surprise myself;Parfois, je m’étonne moi-même.;Manchmal überrasche ich mich selbst;;A veces me sorprendo a mí mismo;;;;;;;;;x
EVTDESC100009014;My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;"Mon suzerain m'a persuadé d'embrasser cette nation de ""Sicilianité"" qui balaye le Royaume.  ";My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;;My Liege has persuded me to embrace this notion of Sicilianness that is sweeping the realm.;;;;;;;;;x
EVTOPTA100009014;He made me an offer I couldn't refuse.;Il m'a fait une offre que je n'ai pu refuser.;Er macht mit ein Angebot das ich nicht ausschlagen konnte;;He made me an offer I couldn't refuse.;;;;;;;;;x
