#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1000025008;[From.GetTitledName] has been captured and killed by peasant rebels!;[From.GetTitledName] a été capturé(e) et tué(e) par les paysans rebelles !;[From.GetTitledName] wurde von Bauernrebellen gefangen und hingerichtet!;;¡[From.GetTitledName] ha sido capturado y asesinado por campesinos rebeldes!;;;;;;;;;x
EVTOPTA1000025008;How dare they execute a subject of mine!;Comment osent-ils exécuter un de mes sujets !;Wie können sie es wagen, einen meiner Untergebenen hinzurichten!;;¿Cómo osan ejecutar a un súbdito mío?;;;;;;;;;x
EVTDESC1000025009;My liege,\nI was ambushed by a mob of peasant rebels and barely got away with my life. The attack has left my maimed and I fear for the life of me and those around me in [From.Location.GetName]. These rebels must be stopped.\n\nSigned,\n[From.GetTitledName];Mon cher suzerain,\nJ’ai échappé de peu à la mort après avoir été pris(e) en embuscade par une foule de paysans rebelles. Après avoir été mutilé(e) au cours de l’attaque, je crains désormais pour ma vie et pour celle de ceux qui m’entourent à [From.Location.GetName]. Il faut absolument arrêter ces rebelles.\n\Signé,\n[From.GetTitledName];Mein Lehnsherr,\nEine Schar Bauernrebellen hat mir einen Hinterhalt gelegt. Ich bin gerade so mit dem Leben davongekommen, wurde aber verstümmelt. Nun sorge ich mich um mein Leben und um das meiner Begleiter in [From.Location.GetName]. Diese Rebellen müssen aufgehalten werden.\n\Gezeichnet,\n[From.GetTitledName];;Mi señor,\nFui emboscado por una turba de campesinos rebeldes y logré huir a duras penas. El ataque me dejó lisiado y temo por mi vida y la de los que me rodean en [From.Location.GetName]. Hay que parar a esos rebeldes.\n\Firmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA1000025009;They sure do...;Oui, il le faut...;In der Tat ...;;Sin duda lo serán...;;;;;;;;;x
EVTDESC1000025010;My liege,\nAlthough I escaped with my life, the mob of peasant rebels that attacked me managed to wound me. I fear these attacks will only increase until the revolt in [From.Location.GetName] is put down.\nSigned,\n[From.GetTitledName];Mon cher suzerain,\nJe m’en suis sorti(e), mais les paysans rebelles qui s’en sont pris à moi ont réussi à me blesser. Je crains que ces attaques ne s’intensifient tant que la révolte de [From.Location.GetName] ne sera pas matée.\nSigné,\n[From.GetTitledName];Mein Lehnsherr,\nIch entkam zwar mit meinem Leben, aber die Schar angreifender Bauernrebellen hat mich verwundet. Wenn die Revolte in [From.Location.GetName] nicht niedergeschlagen wird, werden diese Angriffe wohl noch zunehmen.\nGezeichnet,\n[From.GetTitledName];;Mi señor,\nAunque logré huir, la turba de campesinos rebeldes que me atacó logró herirme. Me temo que estos ataques no harán más que aumentar hasta que la revuelta en [From.Location.GetName] sea sofocada.\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA1000025010;This peasant rabble must be stopped!;Il faut absolument arrêter ces paysans !;Dieser Bauernpöbel muss aufgehalten werden!;;¡Hay que parar a esa chusma!;;;;;;;;;x
EVTDESC1000025012;Tired of their old ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to me!;Lassés de leur vieux souverain, les paysans rebelles de [Root.GetName] ont fait défection et m'ont prêté allégeance !;Der Herrschaft ihres alten Lehnsherren müde geworden, haben die abtrünnigen Bauern in [Root.GetName] Eurer Majestät die Treue geschworen!;;¡Cansados de su antiguo líder, los campesinos rebeldes de [Root.GetName] han desertado y me juran lealtad!;;;;;;;;;x
EVTOPTA1000025012;Excellent! Or is it...?;Excellent ! Quoique, l'est-ce vraiment ?;Vortrefflich! Oder etwa nicht …?;;¡Excelente! ¿O quizás no...?;;;;;;;;;x
EVTOPTA1000025014;Damn these peasants!;Maudits soient ces paysans !;Verdammtes Bauerngesindel!;;¡Al diablo con esos campesinos!;;;;;;;;;x
EVTOPTA1000025015;Outrages!;Outrage !;Unerhört!;;¡Agravio!;;;;;;;;;x
EVTDESC1000025011;A rebel army has risen up in [Root.GetName].;Une armée rebelle est apparue à [Root.GetName].;Eine Rebellenarmee hat sich in  [Root.GetName] grupiert.;A rebel army has risen up in [Root.GetName].;A rebel army has risen up in [Root.GetName].;;;;;;;;x;
EVTOPTA1000025011;Argh!;Argh!;Argh!;;Argh!;;;;;;;;;x
EVTDESC1000025013;A rebel army has risen up in [From.Location.GetName].;Une armée rebelle est apparue à [From.Location.GetName].;Eine Rebellenarmee hat sich in [From.Location.GetName] grupiert.;A rebel army has risen up in [From.Location.GetName].;A rebel army has risen up in [From.Location.GetName].;;;;;;;;x;
EVTOPTA1000025013;Argh!;Argh!;Argh!;;Argh!;;;;;;;;;x
EVTDESC1000025030;Revolting peasants in [Root.GetName] will depose arms if you agree to reduce their taxes;Les paysans révoltés à [Root.GetName] déposeront les armes si vous acceptez de réduire les taxes.;Aufständischen Bauern in [Root.GetName] werden die Waffen niederlegen wenn Sie zustimmen die Steuern zu senken.;;Revolting peasants in [Root.GetName] will depose arms if you agree to reduce their taxes;;;;;;;;;x
EVTOPTA1000025030;Very well;Très bien.;Sehr gut;;Very well;;;;;;;;;x
EVTOPTB1000025030;Don`t listen those peasant scum!;N'écoutez pas ces gueux!;Hören Sie nicht auf diesen Bauern Abschaum!;;Don`t listen those peasant scum!;;;;;;;;;x
EVTNAME1000025031;Revolt suppressed;Révolte supprimée.;Revolte unterdrückt;;Revolt suppressed;;;;;;;;;x
EVTDESC1000025031;I arrived to [Root.Location.GetName] and managed to find and arrest revolt leaders. Without them peasants will not dare to oppose my liege any more;Je suis arrivé à [Root.Location.GetName] et tente de trouvé ainsi que d'arrêter les meneurs de la révolte. Sans eux les paysans n'auront plus l'audace de s'opposer à mon suzerain.;Ich kam auf [Root.Location.GetName] an und nahm den Anführer der Revolte gefangen. Ohne diesen werden die Bauern es nicht wagen, sich  meiner Herschaft zu widersetzen;;I arrived to [Root.Location.GetName] and managed to find and arrest revolt leaders. Without them peasants will not dare to oppose my liege any more;;;;;;;;;x
EVTOPTA1000025031;They learned their lesson!;Ils ont appris la leçon!;Sie haben ihre Lektion gelernt;;They learned their lesson!;;;;;;;;;x
EVTTOOLTIP1000025032;Send a letter to my liege;Envoyer une lettre à mon suzerain. ;Sendet Brife an meinen Lehnsherren;;Send a letter to my liege;;;;;;;;;x
EVTDESC1000025032;My liege, I managed to find and arrest revolt leaders in [From.Location.GetName]. Without them peasants will not dare to oppose you any more.;Mon suzerain, je tente de trouver et d'arrêter les meneurs de la révolte à [From.Location.GetName]. Sans eux les paysans n'auront plus l'audace de s'opposer à vous.;Mein Lehnsherr , ich fand  den Anführer der Revolte in [From.Location.GetName] und kerkerte ich ein.Ohne diesen werden die Bauern es nicht wagen, sich  meiner Herschaft zu widersetzen;;My liege, I managed to find and arrest revolt leaders in [From.Location.GetName]. Without them peasants will not dare to oppose you any more.;;;;;;;;;x
EVTOPTA1000025032;Good news!;Bonne nouvelle!;Gute Nachrichten !;;Good news!;;;;;;;;;x
