duke_russian;Grand Prince;Grand Prince;Grand Prince;;Grand Prince;;;;;;;;;x
duke_female_russian;Grand Princess;Grand Princess;Grand Princess;;Grand Princess;;;;;;;;;x
duchy_of_russian;Principality of;Principality of;Principality of;;Principality of;;;;;;;;;x
emperor_russian;Tsar;Tsar;Zar;;Zar;;;;;;;;;x
emperor_female_russian;Tsaritsa;Tsarine;Zarin;;Zarina;;;;;;;;;x
king_turkish;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
kingdom_of_turkish;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
emperor_turkish;Padishah;Padishah;Padishah;;Emperador Padishah;;;;;;;;;x
king_iranian_group;Shah;Shah;Schah;;Shah;;;;;;;;;x
kingdom_of_iranian_group;Shahdom of;Shahdom of;Schahreich von;;Shahdom of;;;;;;;;;x
iranian_group;Iranian;iranien;Iranisch;;Iraní;;;;;;;;;x
emperor_iranian_group;Shahanshah;Shahanshah;Schahanschah;;Rey de reyes;;;;;;;;;x
arabic_group;Arabic;arabe;Arabisch;;Arábiga;;;;;;;;;x
baron_muslim;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x;;;
barony_of_muslim;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x;;;
count_muslim;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x;;;
county_of_muslim;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;;;;;;;;;x;;;
temple_barony_of_muslim;Masjid of;Cheikat de;Scheichtum von;;Dominio del jeque de;;;;;;;;;x;;;
arrange_marriages;Arrange Courtier Marriages;Arranger des mariages de courtisans;Ordnen Sie Höfling-Ehen an;;Arrange Courtier Marriages;;;;;;;;;x;;;
arrange_marriages_desc;Wed all your unmarried courtiers in a grand ceremony.;Marier tous vos courtisans célibataires lors d'une grande cérémonie.;Verheiraten Sie alle Ihre unverheirateten Höflinge in einer großartigen Zeremonie.;;Wed all your unmarried courtiers in a grand ceremony.;;;;;;;;;x;;;
duke_muslim;Emir;Émir;Emir;;Emir;;;;;;;;;x;;;
duke_muslim_female;Emira;Émira;Emirin;;Emira;;;;;;;;;x;;;
duchy_of_muslim;Emirate of;Émirat de;Emirat von;;Emirato de;;;;;;;;;x;;;
king_muslim;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x;;;
king_muslim_female;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x;;;
kingdom_of_muslim;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x;;;
