#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME777796;The Úlfhéðnar;L'Úlfhéðnar;The Úlfhéðnar;;The Úlfhéðnar;;;;;;;;;x
defenderbonus_desert;Desert;Désert;Wüste;;Desierto;;;;;;;;;x
defenderbonus_mountain;Mountains;Montagnes;Berge;;Montañas;;;;;;;;;x
defenderbonus_hills;Hills;Collines;Hügel;;Colinas;;;;;;;;;x
defenderbonus_arctic;Arctic;Arctique;Arktis;;Ártico;;;;;;;;;x
defenderbonus_forest;Forest;Forest;Wald;;Forest;;;;;;;;;x
arrest_the_templars_france;Arrest the Templars;Faire arrêter les Templiers;Sperrt die Templer ein;;Arrest the Templars;;;;;;;;;x
arrest_the_templars_france_desc;Arrest the Templars as heretics and seize their wealth and holdings.;Faire arrêter les Templiers en tant qu'hérétiques et confisquer leurs biens et leurs terres. ;Sperrt die Templer als Ketzer ein und konfeszieren Sie ihren Reichtum und Ihr Güter.;;Arrest the Templars as heretics and seize their wealth and holdings.;;;;;;;;;x
arrest_templars;Begin the plot;Lancer le complot.;Begin the plot;;Begin the plot;;;;;;;;;x
arrest_the_templars_germany;Arrest the Templars;Faire arrêter les Templiers;Sperrt die Templer ein;;Arrest the Templars;;;;;;;;;x
arrest_the_templars_germany_desc;Arrest the Templars as heretics and seize their wealth and holdings.;Faire arrêter les Templiers en tant qu'hérétiques et confisquer leurs biens et leurs terres. ;Sperrt die Templer als Ketzer ein und konfeszieren Sie ihren Reichtum und Ihr Güter.;;Arrest the Templars as heretics and seize their wealth and holdings.;;;;;;;;;x
arrest_the_templars_italy;Arrest the Templars;Faire arrêter les Templiers;Sperrt die Templer ein;;Arrest the Templars;;;;;;;;;x
arrest_the_templars_italy_desc;Arrest the Templars as heretics and seize their wealth and holdings.;Faire arrêter les Templiers en tant qu'hérétiques et confisquer leurs biens et leurs terres. ;Sperrt die Templer als Ketzer ein und konfeszieren Sie ihren Reichtum und Ihr Güter.;;Arrest the Templars as heretics and seize their wealth and holdings.;;;;;;;;;x
EVTNAME7777804;Arrest the Templars;Faire arrêter les Templiers;Sperrt die Templer ein;;Arrest the Templars;;;;;;;;;x
EVTDESC7777804;The Templars, beholden only to the Pope himself, control substantial land and wealth within our borders. Charges of blasphemy and heresy have been leveled at them from a former member. This could be our opportunity to break their power in France and seize their wealth for ourselves!;Les Templiers, redevables envers le seul Pape, contrôlent de nombreux biens et terres sur notre territoire. Des accusations de blasphèmes et d'hérésie ont été proférées par un ancien membre de l'Ordre. Ce pourrait être une opportunité pour briser leur puissance dans le Royaume de France et s'approprier leurs biens!;Die Templer, verpflichtet nur dem Papst selbst, kontrollieren wesentliches Land und Reichtum innerhalb unserer Grenzen. Anklagen der Gotteslästerung und Ketzerei sind an Sie von einem ehemaligen Verbündeten vorgebracht worden. Das konnte unsere Gelegenheit sein, ihre Macht in Frankreich zu brechen und ihren Reichtum für uns selbst zu greifen!;;;;;;;;;x;;
EVTOPTA7777804;Send out the arrest warrants.;Envoyer les ordres d'arrestation. ;Versenden Sie die Arrestbefugnisse.;;Send out the arrest warrants.;;;;;;;;;x
EVTOPTB7777804;On second thought, lets leave them be.;A la réfléxion, laissez les en paix. ;Nach reiflicher Überlegung, lässt sie gewähren.;;On second thought, lets leave them be.;;;;;;;;;x
EVTNAME7777805;Arrest of the Templars;Arrestation des Templiers;Sperrt die Templer ein;;Arrest of the Templars;;;;;;;;;x
EVTDESC7777805;The King of France has arrested the Templars within his domain. The holy order is charged with heresy, blasphemy, and a litany of other crimes against God.;Le Roi de France a arrêté les Templiers de son Royaume. L'Ordre est accusé d'hérésie, de blasphèmes, and de bien d'autres crimes envers Dieu.  ;Der König Frankreichs hat die Templer innerhalb seines Gebiets eingekerkert. Der heilige Orden wird wegen der Ketzerei, Gotteslästerung, und einer Litanei anderer Verbrechen gegen  Gott angeklagt.;;;;;;;;;x;;
EVTOPTA7777805;I see.;Je vois. ;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME7777806;Arrest the Templars;Faire arrêter les Templiers;Sperrt die Templer ein;;Arrest the Templars;;;;;;;;;x
EVTDESC7777806;The Templars, beholden only to the Pope himself, control substantial land and wealth within our borders. Charges of blasphemy and heresy have been leveled at them from a former member. This could be our opportunity to break their power in the Holy Roman Empire and seize their wealth for ourselves!;Les Templiers, redevables envers le seul Pape, contrôlent de nombreux biens et terres sur notre territoire. Des accusations de blasphèmes et d'hérésie ont été proférées par un ancien membre de l'Ordre. Ce pourrait être une opportunité pour briser leur puissance dans le Saint Empire et s'approprier leurs biens!;Die Templer, verpflichtet nur dem Papst selbst, kontrollieren wesentliches Land und Reichtum innerhalb unserer Grenzen. Anklagen der Gotteslästerung und Ketzerei sind an Sie von einem ehemaligen Verbündeten vorgebracht worden. Das konnte unsere Gelegenheit sein, ihre Macht in Frankreich zu brechen und ihren Reichtum für uns selbst zu greifen!;;;;;;;;;x;;
EVTOPTA7777806;Send out the arrest warrants.;Envoyer les ordres d'arrestation. ;Versenden Sie die Arrestbefugnisse.;;Send out the arrest warrants.;;;;;;;;;x
